GENE,CHR,STRAND,START,STOP,SIZE
FADS3,11,-,61640994,61659017,18024
FADS6,17,-,72873441,72889909,16469
FAF1,1,-,50906934,51425936,519003
FAF2,5,+,175875355,175937075,61721
FAH,15,+,80445232,80478924,33693
FAHD1,16,+,1877224,1890203,12980
FAHD2A,2,+,96068447,96078879,10433
FAHD2B,2,-,97749322,97760582,11261
FAHD2CP,2,+,96676298,96688884,12587
FAIM,3,+,138327541,138352213,24673
FAIM2,12,-,50260678,50297760,37083
FAIM3,1,-,207076630,207095378,18749
FALEC,1,+,150488232,150490508,2277
FAM101A,12,+,124773709,124800570,26862
FAM101B,17,-,289770,295731,5962
FAM102A,9,-,130702860,130742812,39953
FAM102B,1,+,109102970,109181949,78980
FAM103A1,15,+,83654954,83659809,4856
FAM104A,17,-,71203491,71228533,25043
FAM104B,X,-,55169534,55187628,18095
FAM105A,5,+,14581890,14616287,34398
FAM106A,17,-,18427879,18430160,2282
FAM106B,17,+,20320604,20322363,1760
FAM106CP,17,+,16692056,16693815,1760
FAM107A,3,-,58549838,58613337,63500
FAM107B,10,-,14560555,14816896,256342
FAM109A,12,-,111798454,111806925,8472
FAM109B,22,+,42470254,42475442,5189
FAM110A,20,+,814339,826922,12584
FAM110B,8,+,58907112,59062277,155166
FAM110C,2,-,38813,46588,7776
FAM110D,1,+,26485510,26489119,3610
FAM111A,11,+,58910317,58922511,12195
FAM111B,11,+,58874657,58894888,20232
FAM114A1,4,+,38869353,38947365,78013
FAM114A2,5,-,153371268,153418497,47230
FAM115A,7,-,143548460,143599278,50819
FAM115C,7,+,143318044,143427173,109130
FAM115D,7,-,143339346,143344739,5394
FAM115D,7,+,143507082,143512482,5401
FAM117A,17,-,47787686,47841518,53833
FAM117B,2,+,203499900,203634480,134581
FAM118A,22,+,45705080,45737836,32757
FAM118B,11,+,126081618,126132879,51262
FAM120A,9,+,96213977,96328397,114421
FAM120AOS,9,-,96208781,96215874,7094
FAM120B,6,+,170599790,170716159,116370
FAM120C,X,-,54094756,54209714,114959
FAM122A,9,+,71394963,71398609,3647
FAM122B,X,-,133903595,133931262,27668
FAM122C,X,+,133930442,133988641,58200
FAM124A,13,+,51796469,51858377,61909
FAM124B,2,-,225243414,225266711,23298
FAM126A,7,-,22980877,23053770,72894
FAM126B,2,-,201838440,201936392,97953
FAM127A,X,+,134166332,134167575,1244
FAM127B,X,-,134184962,134186221,1260
FAM127C,X,-,134154533,134156566,2034
FAM129A,1,-,184760158,184943718,183561
FAM129B,9,-,130267616,130341286,73671
FAM129C,19,+,17634109,17664648,30540
FAM131A,3,+,184053716,184064063,10348
FAM131B,7,-,143050492,143059840,9349
FAM131C,1,-,16384263,16400127,15865
FAM132A,1,-,1177825,1182102,4278
FAM132B,2,+,239067648,239077532,9885
FAM133A,X,+,92929011,92967273,38263
FAM133B,7,-,92190071,92219708,29638
FAM133CP,10,+,60474774,60477293,2520
FAM133DP,7,-,92190367,92219696,29330
FAM134A,2,+,220042938,220050197,7260
FAM134B,5,-,16473146,16617167,144022
FAM134C,17,-,40731525,40761445,29921
FAM135A,6,+,71123106,71270877,147772
FAM135B,8,-,139142265,139509065,366801
FAM136A,2,-,70523107,70529220,6114
FAM138A,1,-,34610,36081,1472
FAM138A,19,-,76219,77690,1472
FAM138B,2,+,114334958,114336429,1472
FAM138C,9,-,34393,35864,1472
FAM138D,12,+,67606,69079,1474
FAM138E,15,+,102495087,102496558,1472
FAM138F,1,-,34610,36081,1472
FAM138F,19,-,76219,77690,1472
FAM13A,4,-,89647104,89978346,331243
FAM13A-AS1,4,+,89630939,89651254,20316
FAM13B,5,-,137273641,137368802,95162
FAM13C,10,-,61005888,61122661,116774
FAM149A,4,+,187065994,187093817,27824
FAM149B1,10,+,74927876,75001939,74064
FAM150A,8,-,53446596,53478021,31426
FAM150B,2,-,279560,288308,8749
FAM151A,1,-,55074849,55089200,14352
FAM151B,5,+,79783799,79838382,54584
FAM153A,5,-,177150364,177207505,57142
FAM153B,5,+,175490711,175541801,51091
FAM153C,5,+,177433966,177476088,42123
FAM154A,9,-,18927657,19049352,121696
FAM154B,15,+,82555151,82577267,22117
FAM155A,13,-,107820878,108519460,698583
FAM155A-IT1,13,-,108439708,108487806,48099
FAM155B,X,+,68725077,68752351,27275
FAM156A,X,-,52976463,53024651,48189
FAM156A,X,+,52926321,52937585,11265
FAM156B,X,-,52976463,52985629,9167
FAM156B,X,+,52928408,52937585,9178
FAM157A,3,+,197879236,197907728,28493
FAM157B,9,+,141106636,141134172,27537
FAM157C,16,+,90168671,90244014,75344
FAM159A,1,+,53099065,53122737,23673
FAM159B,5,+,63986134,64014017,27884
FAM160A1,4,+,152330397,152584784,254388
FAM160A2,11,-,6232563,6255941,23379
FAM160B1,10,+,116581502,116659586,78085
FAM160B2,8,+,21946713,21961891,15179
FAM161A,2,-,62051982,62081278,29297
FAM161B,14,-,74399694,74417117,17424
FAM162A,3,+,122103022,122128961,25940
FAM162B,6,-,117073359,117086886,13528
FAM163A,1,+,179712297,179785333,73037
FAM163B,9,-,136443536,136445368,1833
FAM166A,9,-,140138034,140142244,4211
FAM166B,9,-,35561826,35563896,2071
FAM167A,8,-,11278972,11324276,45305
FAM167A-AS1,8,+,11225910,11296166,70257
FAM167B,1,+,32712817,32714461,1645
FAM168A,11,-,73111522,73309234,197713
FAM168B,2,-,131805448,131851004,45557
FAM169A,5,-,74073398,74162663,89266
FAM169B,15,-,98980390,99057611,77222
FAM170A,5,+,118965253,118971517,6265
FAM170B,10,-,50339200,50342065,2866
FAM170B-AS1,10,+,50329883,50359592,29710
FAM171A1,10,-,15253643,15413058,159416
FAM171A2,17,-,42431100,42441235,10136
FAM171B,2,+,187558788,187628512,69725
FAM172A,5,-,92953430,93447404,493975
FAM172BP,3,+,101237710,101242731,5022
FAM173A,16,+,771141,772590,1450
FAM173B,5,-,10225619,10250021,24403
FAM174A,5,+,99871123,99922440,51318
FAM174B,15,-,93160678,93199031,38354
FAM175A,4,-,84382093,84406290,24198
FAM175B,10,+,126490353,126525239,34887
FAM177A1,14,+,35514112,35552589,38478
FAM177B,1,+,222910557,222924002,13446
FAM178A,10,+,102672325,102724891,52567
FAM178B,2,-,97541618,97652301,110684
FAM179A,2,+,29204163,29275096,70934
FAM179B,14,+,45431415,45543634,112220
FAM180A,7,-,135414345,135433594,19250
FAM180B,11,+,47608229,47610746,2518
FAM181A,14,+,94385239,94395954,10716
FAM181A-AS1,14,-,94371075,94392718,21644
FAM181B,11,-,82443045,82444906,1862
FAM182A,20,+,26035249,26067553,32305
FAM182B,20,-,25744101,25781927,37827
FAM183A,1,+,43613593,43622067,8475
FAM183B,7,-,38724945,38726689,1745
FAM183CP,8,+,29779028,29811123,32096
FAM184A,6,-,119280993,119470358,189366
FAM184B,4,-,17633708,17783135,149428
FAM185A,7,+,102389398,102449672,60275
FAM186A,12,-,50721094,50790405,69312
FAM186B,12,-,49976657,49999433,22777
FAM187B,19,-,35715703,35719628,3926
FAM188A,10,-,15820174,15902519,82346
FAM188B,7,+,30811032,30932002,120971
FAM189A1,15,-,29412454,29862927,450474
FAM189A2,9,+,71939487,72007370,67884
FAM189B,1,-,155216995,155225274,8280
FAM192A,16,-,57186377,57219976,33600
FAM193A,4,+,2627158,2734302,107145
FAM193B,5,-,176946789,176981548,34760
FAM195A,16,+,691848,698474,6627
FAM195B,17,-,79780236,79791170,10935
FAM196A,10,-,128933689,128994422,60734
FAM196B,5,-,169290718,169407744,117027
FAM197Y2,Y,-,9187188,9362877,175690
FAM197Y5,Y,-,9187188,9362877,175690
FAM198A,3,+,43020758,43099207,78450
FAM198B,4,-,159045731,159094202,48472
FAM199X,X,+,103411155,103440582,29428
FAM19A1,3,+,68040733,68594771,554039
FAM19A2,12,-,62102028,62586620,484593
FAM19A3,1,+,113263188,113269856,6669
FAM19A4,3,-,68780914,68981761,200848
FAM19A5,22,+,48885271,49147747,262477
FAM200A,7,-,99143922,99149757,5836
FAM200B,4,+,15683351,15692070,8720
FAM201A,9,+,38621084,38623277,2194
FAM204A,10,-,120068571,120101839,33269
FAM205A,9,-,34723049,34729535,6487
FAM205BP,9,-,34830263,34838583,8321
FAM206A,9,+,111696672,111703237,6566
FAM207A,21,+,46359954,46396888,36935
FAM208A,3,-,56654159,56717135,62977
FAM208B,10,+,5726800,5805703,78904
FAM209A,20,+,55099784,55101208,1425
FAM209B,20,+,55108301,55111574,3274
FAM20A,17,-,66531256,66597095,65840
FAM20B,1,+,178995073,179045702,50630
FAM20C,7,+,192968,300740,107773
FAM210A,18,-,13663345,13726591,63247
FAM210B,20,+,54933982,54943718,9737
FAM212A,3,+,49840686,49842463,1778
FAM212B,1,-,112264685,112298419,33735
FAM212B-AS1,1,+,112282462,112290420,7959
FAM213A,10,+,82167584,82192753,25170
FAM213B,1,+,2517898,2522908,5011
FAM214A,15,-,52873517,52970831,97315
FAM214B,9,-,35104117,35115893,11777
FAM215A,17,+,41994575,41995355,781
FAM216A,12,+,110906231,110928192,21962
FAM216B,13,+,43355685,43365685,10001
FAM217A,6,-,4068592,4079457,10866
FAM217B,20,+,58508818,58523702,14885
FAM218A,4,+,165878099,165880273,2175
FAM219A,9,-,34398181,34458568,60388
FAM219B,15,-,75192327,75199462,7136
FAM21A,10,+,51827647,51893269,65623
FAM21C,10,+,46222647,46288412,65766
FAM21EP,10,-,51780941,51827563,46623
FAM220A,7,-,6369039,6388590,19552
FAM221A,7,+,23719732,23742269,22538
FAM221B,9,-,35817013,35828744,11732
FAM222A,12,+,110152186,110208312,56127
FAM222A-AS1,12,-,110172013,110211292,39280
FAM222B,17,-,27082995,27169857,86863
FAM223A,X,-,153860738,153861448,711
FAM223A,X,+,153799478,153800188,711
FAM223B,X,-,153860738,153861448,711
FAM223B,X,+,153799478,153800188,711
FAM224A,Y,-,19687063,19691353,4291
FAM224A,Y,+,20488418,20492712,4295
FAM224B,Y,-,19687040,19691332,4293
FAM224B,Y,+,20488439,20492736,4298
FAM225A,9,+,115875175,115882126,6952
FAM225B,9,-,115867002,115873957,6956
FAM226A,X,-,72161567,72163589,2023
FAM226B,X,-,72161567,72163589,2023
FAM227A,22,-,38974124,39052634,78511
FAM227B,15,-,49620591,49913118,292528
FAM228A,2,+,24397971,24414567,16597
FAM228B,2,+,24299743,24392507,92765
FAM229A,1,-,32826870,32827844,975
FAM229B,6,+,112408673,112423993,15321
FAM230B,22,+,21521191,21546445,25255
FAM231A,1,-,17060446,17060956,511
FAM231A,1,+,16999497,17000007,511
FAM231D,1,+,149287450,149291743,4294
FAM24A,10,+,124670216,124672627,2412
FAM24B,10,-,124608609,124639157,30549
FAM24B-CUZD1,10,-,124591670,124639157,47488
FAM25A,10,+,88780045,88784487,4443
FAM25BP,10,+,47740303,47744822,4520
FAM25C,10,-,47177203,49207825,2030623
FAM25C,10,+,48247661,48252143,4483
FAM25G,10,-,47177221,49207825,2030605
FAM25G,10,+,48247661,48252125,4465
FAM26D,6,+,116850175,116880031,29857
FAM26E,6,+,116832807,116839709,6903
FAM26F,6,+,116782532,116784934,2403
FAM27B,9,-,67792928,67794189,1262
FAM27C,9,+,44990235,44991492,1258
FAM27E2,9,-,46385603,46387373,1771
FAM27E2,9,+,46116942,46118709,1768
FAM27E3,9,-,67784943,67786625,1683
FAM27L,17,+,21825369,21826499,1131
FAM32A,19,+,16296234,16302857,6624
FAM35A,10,+,88854952,88951222,96271
FAM35BP,10,+,46897640,46939145,41506
FAM35DP,10,+,47379719,47421238,41520
FAM3A,X,-,153734489,153744566,10078
FAM3B,21,+,42688660,42729654,40995
FAM3C,7,-,120988904,121036422,47519
FAM3D,3,-,58619669,58652561,32893
FAM41AY1,Y,-,20551155,20566932,15778
FAM41AY1,Y,+,19612837,19628622,15786
FAM41AY2,Y,-,20551155,20566932,15778
FAM41AY2,Y,+,19612837,19628622,15786
FAM41C,1,-,803450,812182,8733
FAM43A,3,+,194406621,194409766,3146
FAM43B,1,+,20878931,20881513,2583
FAM45A,10,+,120863610,120897223,33614
FAM45B,10,+,120863628,120897376,33749
FAM45B,X,+,129628914,129631421,2508
FAM46A,6,-,82455446,82462428,6983
FAM46B,1,-,27331510,27339333,7824
FAM46C,1,+,118148603,118171011,22409
FAM46D,X,+,79591002,79700810,109809
FAM47A,X,-,34147868,34150447,2580
FAM47B,X,+,34960912,34963034,2123
FAM47C,X,+,37026431,37029739,3309
FAM47E,4,+,77135192,77204936,69745
FAM47E-STBD1,4,+,77172852,77232283,59432
FAM49A,2,-,16730729,16847134,116406
FAM49B,8,-,130851838,131028897,177060
FAM50A,X,+,153672472,153679002,6531
FAM50B,6,+,3849631,3851551,1921
FAM53A,4,-,1641607,1686040,44434
FAM53B,10,-,126307862,126432930,125069
FAM53B-AS1,10,+,126392596,126403329,10734
FAM53C,5,+,137673223,137685418,12196
FAM57A,17,+,635846,646075,10230
FAM57B,16,-,30035747,30042186,6440
FAM58A,X,-,152853382,152864632,11251
FAM60A,12,-,31433519,31479159,45641
FAM63A,1,-,150969300,150980854,11555
FAM63B,15,+,59063392,59149734,86343
FAM64A,17,+,6347734,6354385,6652
FAM65A,16,+,67562716,67580691,17976
FAM65B,6,-,24804508,25042396,237889
FAM65C,20,-,49202644,49308067,105424
FAM66A,8,+,12219527,12268510,48984
FAM66B,8,-,7159132,7212876,53745
FAM66C,12,+,8332804,8353596,20793
FAM66D,8,+,11973290,12008698,35409
FAM66E,8,+,7812534,7866277,53744
FAM69A,1,-,93298285,93427079,128795
FAM69B,9,+,139607023,139619170,12148
FAM69C,18,-,72102962,72124503,21542
FAM71A,1,+,212797788,212800120,2333
FAM71B,5,-,156589343,156593279,3937
FAM71C,12,+,100041527,100043892,2366
FAM71D,14,+,67656109,67695267,39159
FAM71E1,19,-,50970044,50980003,9960
FAM71E2,19,-,55866275,55874620,8346
FAM71F1,7,+,128349114,128371797,22684
FAM71F2,7,+,128312319,128327926,15608
FAM72A,1,+,206138910,206155074,16165
FAM72B,1,+,120839004,120855681,16678
FAM72C,1,-,143896524,143913160,16637
FAM72C,1,+,206138439,206155074,16636
FAM72D,1,-,143896451,143913143,16693
FAM73A,1,+,78245308,78345225,99918
FAM73B,9,+,131799252,131834351,35100
FAM74A1,9,-,41306132,65494240,24188109
FAM74A1,9,+,39371061,41521999,2150939
FAM74A3,9,+,40715523,40722679,7157
FAM74A4,9,-,65487272,65494386,7115
FAM74A6,9,-,65488295,65494240,5946
FAM74A6,9,+,41516053,41521999,5947
FAM74A7,9,-,43608372,43615527,7156
FAM76A,1,+,28052489,28089423,36935
FAM76B,11,-,95502105,95522954,20850
FAM78A,9,-,134133464,134151906,18443
FAM78B,1,-,166039255,166135958,96704
FAM81A,15,+,59730371,59815751,85381
FAM81B,5,+,94727047,94786144,59098
FAM83A,8,+,124191286,124222319,31034
FAM83A-AS1,8,-,124213411,124214983,1573
FAM83B,6,+,54711568,54809897,98330
FAM83C,20,-,33873533,33880225,6693
FAM83C-AS1,20,+,33873053,33873575,523
FAM83D,20,+,37554954,37581703,26750
FAM83E,19,-,49103856,49116694,12839
FAM83F,22,+,40390952,40426043,35092
FAM83G,17,-,18874380,18908060,33681
FAM83H,8,-,144806102,144815914,9813
FAM83H-AS1,8,+,144816309,144828507,12199
FAM84A,2,+,14772809,14780168,7360
FAM84B,8,-,127564682,127570711,6030
FAM86A,16,-,5134300,5147821,13522
FAM86B1,8,-,12039612,12051624,12013
FAM86B2,8,-,12283123,12293852,10730
FAM86B3P,8,+,8086091,8102387,16297
FAM86C1,11,+,71498556,71512280,13725
FAM86C2P,11,-,67559237,67572807,13571
FAM86DP,3,-,75470702,75484266,13565
FAM86EP,4,-,3943668,3957148,13481
FAM86FP,12,-,8383644,8395542,11899
FAM86HP,3,-,129816624,129830276,13653
FAM86JP,3,+,125635443,125648867,13425
FAM87A,8,-,325930,333174,7245
FAM87B,1,+,752750,755214,2465
FAM89A,1,-,231154703,231175995,21293
FAM89B,11,+,65339819,65341669,1851
FAM8A1,6,+,17600517,17611950,11434
FAM90A1,12,-,8373855,8380214,6360
FAM90A10P,8,+,7627105,7628835,1731
FAM90A25P,8,-,12272029,12275541,3513
FAM90A27P,19,+,53785542,53787602,2061
FAM90A2P,8,-,12030962,12034776,3815
FAM90A7P,8,-,7413659,7431920,18262
FAM91A1,8,+,124780881,124827690,46810
FAM92A1,8,+,94712734,94741478,28745
FAM92A1P2,4,+,183958817,183961272,2456
FAM92B,16,-,85131964,85146114,14151
FAM95A,2,-,95421070,95426929,5860
FAM95B1,9,-,43027662,43033312,5651
FAM95B1,9,+,42468588,42474238,5651
FAM95C,9,-,38540563,38545369,4807
FAM96A,15,-,64364757,64386207,21451
FAM96B,16,-,66965957,66968326,2370
FAM98A,2,-,33808728,33824362,15635
FAM98B,15,+,38746327,38779911,33585
FAM98C,19,+,38893774,38899728,5955
FAM99A,11,+,1686828,1689086,2259
FAM99B,11,-,1704499,1706859,2361
FAM9A,X,-,8758836,8769424,10589
FAM9B,X,-,8992272,9002168,9897
FAM9C,X,-,13053735,13062917,9183
FAN1,15,+,31196054,31235310,39257
FANCA,16,-,89803958,89883065,79108
FANCB,X,-,14861528,14891184,29657
FANCC,9,-,97861335,98079991,218657
FANCD2,3,+,10068112,10143614,75503
FANCD2OS,3,-,10123003,10149915,26913
FANCE,6,+,35420137,35434881,14745
FANCF,11,-,22644078,22647387,3310
FANCG,9,-,35073834,35080013,6180
FANCI,15,+,89787193,89860362,73170
FANCL,2,-,58386377,58468515,82139
FANCM,14,+,45605135,45670093,64959
FANK1,10,+,127585107,127698161,113055
FANK1-AS1,10,-,127660756,127661842,1087
FAP,2,-,163027193,163100045,72853
FAR1,11,+,13690205,13753893,63689
FAR2,12,+,29301935,29488549,186615
FAR2P1,2,-,130783571,130808704,25134
FAR2P2,2,-,131174325,131186119,11795
FARP1,13,+,98794815,99102027,307213
FARP2,2,+,242295663,242434257,138595
FARS2,6,+,5261583,5771816,510234
FARSA,19,-,13033283,13044558,11276
FARSB,2,-,223436161,223520827,84667
FAS,10,+,90750287,90775542,25256
FAS-AS1,10,-,90751180,90752732,1553
FASLG,1,+,172628184,172636012,7829
FASN,17,-,80036213,80056106,19894
FASTK,7,-,150773707,150777970,4264
FASTKD1,2,-,170386261,170430431,44171
FASTKD2,2,+,207630111,207660911,30801
FASTKD3,5,-,7859271,7869150,9880
FASTKD5,20,-,3127164,3140532,13369
FAT1,4,-,187508936,187644987,136052
FAT2,5,-,150883652,150948505,64854
FAT3,11,+,92085261,92629635,544375
FAT4,4,+,126237566,126414087,176522
FATE1,X,+,150884507,150891664,7158
FAU,11,-,64888098,64889672,1575
FAXC,6,-,99720792,99797531,76740
FAXDC2,5,-,154198051,154230213,32163
FBF1,17,-,73906617,73937119,30503
FBL,19,-,40325092,40337054,11963
FBLIM1,1,+,16085254,16113084,27831
FBLL1,5,+,167956581,167957639,1059
FBLN1,22,+,45898718,45997014,98297
FBLN2,3,+,13590624,13679922,89299
FBLN5,14,-,92335754,92414046,78293
FBLN7,2,+,112895961,112945791,49831
FBN1,15,-,48700502,48937985,237484
FBN2,5,-,127593600,127873735,280136
FBN3,19,-,8130286,8212385,82100
FBP1,9,-,97365420,97402531,37112
FBP2,9,-,97320995,97356114,35120
FBRS,16,+,30675777,30682131,6355
FBRSL1,12,+,133067156,133161773,94618
FBXL12,19,-,9920942,9929731,8790
FBXL13,7,-,102453307,102715288,261982
FBXL14,12,-,1675158,1703331,28174
FBXL15,10,+,104179570,104182893,3324
FBXL16,16,-,742499,755825,13327
FBXL17,5,-,107194733,107717799,523067
FBXL18,7,-,5515427,5553399,37973
FBXL19,16,+,30934375,30960104,25730
FBXL19-AS1,16,-,30930639,30934590,3952
FBXL2,3,+,33318933,33428757,109825
FBXL20,17,-,37408896,37557909,149014
FBXL21,5,+,135266005,135277367,11363
FBXL22,15,+,63889551,63894620,5070
FBXL3,13,-,77579388,77601331,21944
FBXL4,6,-,99321600,99395882,74283
FBXL5,4,-,15606006,15657035,51030
FBXL6,8,-,145579087,145582183,3097
FBXL7,5,+,15500304,15939905,439602
FBXL8,16,+,67193890,67198077,4188
FBXO10,9,-,37510888,37576250,65363
FBXO11,2,-,48034058,48132932,98875
FBXO15,18,-,71740587,71815100,74514
FBXO16,8,-,28285925,28347835,61911
FBXO17,19,-,39432040,39466453,34414
FBXO18,10,+,5931534,5979558,48025
FBXO2,1,-,11708417,11714888,6472
FBXO21,12,-,117581584,117628300,46717
FBXO22,15,+,76196199,76227608,31410
FBXO22-AS1,15,-,76225023,76225471,449
FBXO24,7,+,100183955,100198740,14786
FBXO25,8,+,356807,419875,63069
FBXO27,19,-,39514662,39523198,8537
FBXO28,1,+,224301788,224349749,47962
FBXO3,11,-,33762489,33796071,33583
FBXO30,6,-,146119271,146135921,16651
FBXO31,16,-,87360592,87425713,65122
FBXO32,8,-,124510126,124553493,43368
FBXO33,14,-,39865576,39901704,36129
FBXO34,14,+,55738020,55820329,82310
FBXO36,2,+,230787206,230877825,90620
FBXO38,5,+,147763497,147822399,58903
FBXO39,17,+,6679551,6690965,11415
FBXO3-AS1,11,+,33796244,33797216,973
FBXO4,5,+,41925353,41941672,16320
FBXO40,3,+,121312169,121349139,36971
FBXO41,2,-,73481809,73496758,14950
FBXO42,1,-,16576558,16678948,102391
FBXO43,8,-,101145587,101158099,12513
FBXO44,1,+,11714431,11723384,8954
FBXO45,3,+,196295724,196315930,20207
FBXO46,19,-,46213886,46234151,20266
FBXO47,17,-,37092684,37123655,30972
FBXO48,2,-,68689504,68694390,4887
FBXO5,6,-,153291657,153304740,13084
FBXO6,1,+,11724149,11734409,10261
FBXO7,22,+,32870706,32894818,24113
FBXO8,4,-,175157809,175205402,47594
FBXO9,6,+,52929795,52965670,35876
FBXW10,17,+,18647325,18682662,35338
FBXW11,5,-,171288555,171433877,145323
FBXW12,3,+,48413708,48436190,22483
FBXW2,9,-,123519253,123555740,36488
FBXW4,10,-,103370420,103454743,84324
FBXW4P1,22,+,23604953,23607186,2234
FBXW5,9,-,139834884,139839206,4323
FBXW7,4,-,153242409,153456393,213985
FBXW8,12,+,117348760,117468953,120194
FBXW9,19,-,12799729,12807455,7727
FCAMR,1,-,207131311,207143970,12660
FCAR,19,+,55385548,55401839,16292
FCER1A,1,+,159259503,159278014,18512
FCER1G,1,+,161185086,161189038,3953
FCER2,19,-,7753642,7767032,13391
FCF1,14,+,75179849,75203390,23542
FCGBP,19,-,40353962,40440533,86572
FCGR1A,1,+,149754249,149764074,9826
FCGR1B,1,-,120926127,120935944,9818
FCGR1C,1,+,149369293,149378303,9011
FCGR2A,1,+,161475204,161489360,14157
FCGR2B,1,+,161632904,161648444,15541
FCGR2C,1,+,161551128,161571010,19883
FCGR3A,1,-,161511550,161520413,8864
FCGR3B,1,-,161592987,161601753,8767
FCGRT,19,+,50015535,50029685,14151
FCHO1,19,+,17858526,17899377,40852
FCHO2,5,+,72251807,72386349,134543
FCHSD1,5,-,141018868,141030986,12119
FCHSD2,11,-,72547789,72853143,305355
FCN1,9,-,137801430,137809806,8377
FCN2,9,+,137772657,137779366,6710
FCN3,1,-,27695600,27701315,5716
FCRL1,1,-,157764193,157789940,25748
FCRL2,1,-,157715522,157746922,31401
FCRL3,1,-,157647977,157670647,22671
FCRL4,1,-,157543538,157567870,24333
FCRL5,1,-,157483166,157522310,39145
FCRL6,1,+,159770300,159786047,15748
FCRLA,1,+,161676761,161684142,7382
FCRLB,1,+,161691333,161697933,6601
FDCSP,4,+,71091787,71100968,9182
FDFT1,8,+,11653081,11696818,43738
FDPS,1,+,155278538,155290457,11920
FDPSP2,7,-,76099336,76104317,4982
FDX1,11,+,110300660,110335608,34949
FDX1L,19,-,10420886,10426691,5806
FDXACB1,11,-,111744779,111750181,5403
FDXR,17,-,72858618,72869156,10539
FECH,18,-,55212072,55253969,41898
FEM1A,19,+,4791727,4795571,3845
FEM1B,15,+,68570140,68588203,18064
FEM1C,5,-,114856607,114880591,23985
FEN1,11,+,61560108,61564714,4607
FENDRR,16,-,86508130,86542466,34337
FER,5,+,108083522,108523373,439852
FER1L4,20,-,34146506,34195484,48979
FER1L5,2,+,97308473,97370622,62150
FER1L6,8,+,124864226,125132302,268077
FER1L6-AS1,8,-,124996377,125053023,56647
FER1L6-AS2,8,-,125058311,125183763,125453
FERD3L,7,-,19184404,19185044,641
FERMT1,20,-,6055491,6104191,48701
FERMT2,14,-,53323988,53417815,93828
FERMT3,11,+,63974151,63991363,17213
FES,15,+,91427664,91439006,11343
FETUB,3,+,186358148,186370797,12650
FEV,2,-,219845808,219850379,4572
FEZ1,11,-,125315640,125366206,50567
FEZ2,2,-,36779403,36825332,45930
FEZF1,7,-,121941362,121944565,3204
FEZF1-AS1,7,+,121943711,121950131,6421
FEZF2,3,-,62355346,62359190,3845
FFAR1,19,+,35842444,35843367,924
FFAR2,19,+,35940616,35942669,2054
FFAR3,19,+,35849487,35851389,1903
FFAR4,10,+,95326421,95349829,23409
FGA,4,-,155504279,155511897,7619
FGB,4,+,155484131,155493915,9785
FGD1,X,-,54471886,54522599,50714
FGD2,6,+,36973422,36996845,23424
FGD3,9,+,95709600,95798518,88919
FGD4,12,+,32655040,32798984,143945
FGD5,3,+,14860468,14976072,115605
FGD5-AS1,3,-,14984285,14989948,5664
FGD5P1,3,+,13974552,13978444,3893
FGD6,12,-,95470524,95611240,140717
FGF1,5,-,141971742,142077635,105894
FGF10,5,-,44305096,44388784,83689
FGF10-AS1,5,+,44388833,44414091,25259
FGF11,17,+,7342688,7348251,5564
FGF12,3,-,191857181,192445388,588208
FGF12-AS1,3,+,191956418,192000884,44467
FGF13,X,-,137713733,138287185,573453
FGF13-AS1,X,+,137794268,137798763,4496
FGF14,13,-,102373204,103054124,680921
FGF14-AS1,13,+,103019879,103026016,6138
FGF14-AS2,13,+,103046927,103048055,1129
FGF14-IT1,13,-,102944669,103046869,102201
FGF16,X,+,76709646,76712013,2368
FGF17,8,+,21900427,21906319,5893
FGF18,5,+,170846666,170884630,37965
FGF19,11,-,69513005,69519106,6102
FGF2,4,+,123747862,123819390,71529
FGF20,8,-,16850333,16859674,9342
FGF21,19,+,49259343,49261582,2240
FGF22,19,+,639894,643703,3810
FGF23,12,-,4477392,4488894,11503
FGF3,11,-,69624735,69634192,9458
FGF4,11,-,69587796,69590171,2376
FGF5,4,+,81187741,81212171,24431
FGF6,12,-,4543307,4554780,11474
FGF7,15,+,49715374,49779523,64150
FGF8,10,-,103529886,103540126,10241
FGF9,13,+,22245214,22278640,33427
FGFBP1,4,-,15937192,15940363,3172
FGFBP2,4,-,15961862,15964859,2998
FGFBP3,10,-,93666344,93669258,2915
FGFR1,8,-,38268655,38326352,57698
FGFR1OP,6,+,167412804,167455906,43103
FGFR1OP2,12,+,27091304,27119581,28278
FGFR2,10,-,123237843,123357972,120130
FGFR3,4,+,1795038,1810599,15562
FGFR4,5,+,176513872,176525143,11272
FGFRL1,4,+,1005609,1020686,15078
FGG,4,-,155525285,155533902,8618
FGGY,1,+,59762624,60228402,465779
FGL1,8,-,17721899,17753047,31149
FGL2,7,-,76822687,76829150,6464
FGR,1,-,27938800,27961727,22928
FH,1,-,241660856,241683085,22230
FHAD1,1,+,15573767,15724622,150856
FHDC1,4,+,153864134,153900848,36715
FHIT,3,-,59735035,61237133,1502099
FHL1,X,+,135228860,135293518,64659
FHL2,2,-,105977282,106055230,77949
FHL3,1,-,38462441,38471187,8747
FHL5,6,+,97010423,97064512,54090
FHOD1,16,-,67263291,67281425,18135
FHOD3,18,+,33877658,34360022,482365
FIBCD1,9,-,133777824,133814455,36632
FIBIN,11,+,27015627,27018632,3006
FIBP,11,-,65651210,65656010,4801
FICD,12,+,108909050,108913380,4331
FIG4,6,+,110012423,110146634,134212
