GENE,CHR,START,STOP,STRAND,SIZE
SNORD70,2,202851076,202851160,+,85
SNORD11B,2,202864300,202864389,+,90
SNORD11,2,202866017,202866104,+,88
Metazoa_SRP,2,202906407,202906696,+,290
AC064836.3,2,202908992,202909695,-,704
Metazoa_SRP,2,202930089,202930385,-,297
BMPR2,2,202949904,203140719,+,190816
AC073410.1,2,203093369,203093957,+,589
AC009960.1,2,203187182,203187672,+,491
AC009960.2,2,203187821,203188497,+,677
AC009960.4,2,203188737,203189408,+,672
AC009960.5,2,203189668,203190180,+,513
AC009960.7,2,203190252,203190595,+,344
AC009960.6,2,203190663,203190955,+,293
MTND4P30,2,203190951,203191849,+,899
AC009960.3,2,203192153,203192864,-,712
FAM117B,2,203208146,203342725,+,134580
AC098831.4,2,203346688,203347328,-,641
ICA1L,2,203348935,203444953,-,96019
KRT8P15,2,203413299,203414749,-,1451
WDR12,2,203453568,203587766,-,134199
ALS2CR8,2,203485182,203559305,+,74124
AC010900.2,2,203497577,203498872,+,1296
NBEAL1,2,203587847,203799346,+,211500
RPL7P14,2,203613076,203613867,+,792
SNORA1,2,203625253,203625386,-,134
AC023271.1,2,203634282,203635371,-,1090
AC023271.2,2,203647653,203648110,-,458
AC011737.2,2,203763748,203764245,+,498
CYP20A1,2,203811908,203871254,+,59347
Metazoa_SRP,2,203832572,203832863,+,292
MRPL50P2,2,203888358,203888839,-,482
ABI2,2,203901187,204009851,+,108665
RP11-363J17.1,2,203901427,203902194,-,768
RAPH1,2,203967313,204108378,-,141066
AC125238.2,2,204207545,204208984,-,1440
AC125238.3,2,204245143,204245391,-,249
CD28,2,204279443,204310802,+,31360
AC125238.4,2,204337263,204338561,-,1299
AC125238.1,2,204337675,204337766,-,92
AC010138.3,2,204345599,204346470,-,872
U6,2,204355005,204355111,+,107
CTLA4,2,204440754,204446928,+,6175
ICOS,2,204509716,204534545,+,24830
AC009965.1,2,204638674,204640331,+,1658
AC009965.2,2,204663425,204682817,+,19393
AC009498.1,2,204801105,204807953,-,6849
DSTNP5,2,204879810,204880332,+,523
AC106901.1,2,204952063,204952760,+,698
AC016903.1,2,205043044,205046805,-,3762
AC016903.2,2,205048324,205080640,+,32317
PARD3B,2,205118761,206193131,+,1074371
AC008171.1,2,205826273,205826472,-,200
NRP2,2,206254959,206371102,+,116144
AC007362.3,2,206329438,206336975,-,7538
AC007362.1,2,206350785,206352678,+,1894
7SK,2,206473599,206473927,+,329
AC007679.1,2,206522060,206523114,+,1055
AC007679.3,2,206562554,206573827,+,11274
INO80D,2,206566690,206659272,-,92583
Vault,2,206580849,206580943,-,95
Y_RNA,2,206598562,206598666,+,105
AC007679.4,2,206613401,206613814,+,414
AC007383.3,2,206657574,206659533,+,1960
AC007383.4,2,206688516,206695292,+,6777
GCSHP3,2,206689079,206689469,-,391
NDUFS1,2,206694394,206732572,-,38179
EEF1B2,2,206732554,206735897,+,3344
SNORD51,2,206734847,206734926,+,80
SNORA41,2,206735197,206735328,+,132
GPR1,2,206748285,206791016,-,42732
7SK,2,206794284,206794603,+,320
AC007383.6,2,206809205,206809840,-,636
HMGN1P6,2,206832597,206832887,-,291
7SK,2,206833035,206833183,-,149
ZDBF2,2,206847632,206887393,+,39762
AC017081.1,2,206928708,206929088,+,381
AC017081.2,2,206983056,206983878,-,823
AC017081.3,2,206992261,206993207,-,947
ADAM23,2,207016508,207194096,+,177589
AC010731.2,2,207179466,207182781,-,3316
AC010731.3,2,207213042,207214251,+,1210
AC010731.4,2,207215387,207222418,+,7032
DYTN,2,207224590,207291365,-,66776
AC010731.6,2,207259486,207260331,-,846
Y_RNA,2,207274034,207274154,-,121
MDH1B,2,207310732,207338516,-,27785
FASTKD2,2,207338326,207365478,+,27153
MIR3130-2,2,207356203,207356277,+,75
RP11-95H11.1,2,207394159,207395263,-,1105
AC008269.2,2,207439764,207441258,+,1495
CPO,2,207512523,207542443,+,29921
KLF7,2,207647106,207740236,-,93131
MIR2355,2,207682956,207683042,-,87
KLF7-IT1,2,207693853,207695013,-,1161
AC007879.1,2,207746603,207795759,+,49157
AC007879.2,2,207759686,207809035,-,49350
AC007879.4,2,207799918,207801277,+,1360
AC007879.3,2,207808268,207810844,-,2577
AC007879.7,2,207812619,207818856,+,6238
AC007879.5,2,207812833,208102764,-,289932
AC007879.6,2,207833414,207843659,+,10246
MIR1302-4,2,207842244,207842393,-,150
CREB1,2,208102706,208176400,+,73695
METTL21A,2,208153600,208198897,-,45298
AC079767.2,2,208170134,208172725,+,2592
AC079767.3,2,208227750,208227920,+,171
AC079767.4,2,208235344,208239993,+,4650
U6,2,208253502,208253608,-,107
PPP1R14BP2,2,208254559,208255002,+,444
Y_RNA,2,208260929,208261028,+,100
CCNYL1,2,208284509,208334808,+,50300
MIR4775,2,208327776,208327850,+,75
FZD5,2,208335555,208342532,-,6978
AC096772.6,2,208394259,208395738,-,1480
PLEKHM3,2,208401272,208598529,-,197258
AC083900.1,2,208441551,208442884,-,1334
U6,2,208592607,208592710,-,104
AC093698.1,2,208604352,208604922,-,571
RNA5SP116,2,208627130,208627227,-,98
AC093698.2,2,208630217,208630714,-,498
snoU13,2,208647030,208647131,-,102
CRYGEP,2,208681202,208685480,-,4279
CRYGD,2,208694576,208697470,-,2895
CRYGC,2,208701106,208702799,-,1694
AC093698.4,2,208708363,208710666,-,2304
CRYGB,2,208715542,208719137,-,3596
CRYGA,2,208733709,208736545,-,2837
C2orf80,2,208738312,208763042,-,24731
AC016697.1,2,208781104,208781953,+,850
AC016697.6,2,208787693,208795594,-,7902
AC016697.3,2,208806413,208806474,-,62
IDH1,2,208809196,208839043,-,29848
IDH1-AS1,2,208828216,208829150,+,935
PIKFYVE,2,208839236,208931720,+,92485
AC016697.2,2,208842312,208842926,-,615
PTH2R,2,208932683,209427472,+,494790
AC012362.3,2,208933601,208934339,-,739
AC012362.1,2,208942531,208942592,-,62
AC019185.2,2,209039208,209039596,-,389
AC019185.4,2,209042820,209113383,+,70564
AC019185.3,2,209089878,209090200,+,323
RNA5SP117,2,209493516,209493633,-,118
HSPA8P6,2,209645566,209647117,-,1552
CRYGFP,2,209718210,209720656,+,2447
MEAF6P1,2,209751773,209754987,+,3215
PKP4P1,2,209751935,209754092,+,2158
MAP2,2,209997027,210307087,+,310061
RNA5SP118,2,210294882,210294990,-,109
UNC80,2,210344962,210572269,+,227308
SNAI1P1,2,210381773,210382549,+,777
RPE,2,210575534,210594545,+,19012
KANSL1L,2,210594392,210744352,-,149961
AC007038.7,2,210603702,210637325,+,33624
AC006994.1,2,210661195,210662033,+,839
AC006994.3,2,210744265,210744360,-,96
AC006994.2,2,210744487,210803352,+,58866
ACADL,2,210760908,210798460,-,37553
Y_RNA,2,210838932,210839043,+,112
MYL1,2,210863119,210888159,-,25041
AC007970.1,2,210897728,211042215,+,144488
LANCL1,2,211004218,211050621,-,46404
CPS1,2,211050651,211252076,+,201426
AC013404.1,2,211871911,211872159,-,249
ERBB4,2,211948691,213111810,-,1163120
RNA5SP119,2,212108623,212108739,+,117
MTND2P23,2,212350176,212350826,+,651
AC105921.5,2,212351243,212352733,+,1491
MIR548F2,2,212999232,212999329,-,98
AC093865.1,2,213154326,213594514,-,440189
AC093865.2,2,213336539,213336644,-,106
AC093381.2,2,213368300,213392231,+,23932
PCED1CP,2,213405130,213405914,+,785
AC108066.1,2,213483972,213492778,+,8807
MIR4776-2,2,213499226,213499305,+,80
IKZF2,2,213572674,213725396,-,152723
AC079610.1,2,213728775,213740681,-,11907
AC079610.2,2,213849521,213857174,-,7654
SPAG16,2,213857358,214983470,+,1126113
MIR4438,2,214331036,214331128,+,93
AC107218.3,2,214823009,215257215,-,434207
AC008279.1,2,214853607,214854421,-,815
VWC2L,2,214984034,215151928,+,167895
VWC2L-IT1,2,215083165,215109859,+,26695
ENSAP3,2,215270696,215271033,+,338
BARD1,2,215298615,215382673,-,84059
SNORA70,2,215419916,215420050,+,135
AC016708.2,2,215420097,215420414,+,318
ABCA12,2,215504511,215711396,-,206886
AC072062.1,2,215533361,215535031,+,1671
AC072062.3,2,215594967,215615225,+,20259
AC073284.4,2,215847960,215850915,+,2956
snoU13,2,215875734,215875832,+,99
ATIC,2,215884785,215922732,+,37948
FN1,2,215933408,216009140,-,75733
AC012462.1,2,216009221,216009960,+,740
AC012462.2,2,216026675,216036839,+,10165
AC012462.3,2,216049635,216053216,+,3582
AC012668.1,2,216103415,216118494,-,15080
AC012668.2,2,216106101,216286863,+,180763
AC012668.3,2,216152375,216155603,-,3229
LINC00607,2,216184531,216416690,-,232160
AC093850.2,2,216291011,216292392,+,1382
AC093850.1,2,216377699,216377949,-,251
AC122136.2,2,216442891,216443486,+,596
AC122136.1,2,216451801,216451887,-,87
AC093382.1,2,216512276,216514687,-,2412
MREG,2,216517458,216607064,-,89607
PECR,2,216569297,216655923,-,86627
TMEM169,2,216654834,216675751,+,20918
XRCC5,2,216680432,216779271,+,98840
POLHP1,2,216729310,216729779,-,470
AC012513.4,2,216747864,216749000,-,1137
RP11-566E18.3,2,216790013,216793160,+,3148
4-Mar,2,216830833,216944995,-,114163
AC012513.6,2,216832563,216839098,+,6536
AC069155.1,2,216876293,216894705,+,18413
Y_RNA,2,216924371,216924472,+,102
AC098820.2,2,216958256,216985664,-,27409
SMARCAL1,2,216985382,217056021,+,70640
AC098820.3,2,217051998,217071729,-,19732
AC098820.4,2,217056000,217060164,-,4165
RPL37A,2,217071157,217152148,+,80992
AC073321.3,2,217163394,217179906,-,16513
AC073321.4,2,217177739,217184170,+,6432
PSMB3P2,2,217183310,217183927,-,618
IGFBP2,2,217205796,217237404,+,31609
IGFBP5,2,217245073,217268493,-,23421
AC007563.5,2,217267432,217566967,+,299536
AC007563.4,2,217358742,217359112,-,371
RNA5SP120,2,217366457,217366568,-,112
AC007563.3,2,217372576,217378303,+,5728
FABP5P14,2,217378705,217379097,-,393
AC007557.4,2,217427357,217428100,-,744
TNP1,2,217432426,217433032,-,607
AC007557.2,2,217439300,217440781,-,1482
AC007557.3,2,217440980,217442124,+,1145
AC007563.1,2,217443409,217446900,-,3492
AC007557.1,2,217443740,217444607,+,868
RP11-574O16.1,2,217568874,217569458,+,585
AC010887.1,2,217749466,217749550,+,85
7SK,2,217824524,217824843,+,320
AC009492.1,2,217855707,217909088,+,53382
DIRC3,2,217856987,218329561,-,472575
AC010886.2,2,218266863,218269731,+,2869
RPL7L1P9,2,218333515,218334259,-,745
TNS1,2,218372757,218575963,-,203207
AC009469.1,2,218372759,218374224,-,1466
AC010136.2,2,218551675,218565583,+,13909
RUFY4,2,218607928,218663549,+,55622
CXCR2P1,2,218632123,218638697,-,6575
CXCR2,2,218698257,218710221,+,11965
CXCR1,2,218735813,218739963,-,4151
snoU13,2,218757947,218758050,-,104
HMGB1P9,2,218773402,218774356,+,955
ARPC2,2,218790062,218827324,+,37263
RP11-378A13.1,2,218828287,218830332,+,2046
GPBAR1,2,218832464,218836826,+,4363
AAMP,2,218837094,218843224,-,6131
PNKD,2,218843359,218919760,+,76402
TMBIM1,2,218847159,218865553,-,18395
AC021016.8,2,218899856,218930933,-,31078
snoU13,2,218901547,218901647,+,101
AC021016.7,2,218927042,218927539,+,498
C2orf62,2,218929823,218941066,+,11244
AC021016.6,2,218939632,218940802,-,1171
SLC11A1,2,218954996,218969861,+,14866
CTDSP1,2,218971223,218978908,+,7686
MIR26B,2,218975613,218975689,+,77
VIL1,2,218992059,219026262,+,34204
USP37,2,219023218,219141328,-,118111
7SK,2,219073696,219074004,-,309
RQCD1,2,219141547,219170047,+,28501
U6,2,219162181,219162287,-,107
PLCD4,2,219180732,219210151,+,29420
U3,2,219192768,219192904,+,137
ZNF142,2,219210883,219232622,-,21740
BCS1L,2,219231731,219236410,+,4680
RNF25,2,219236831,219245378,-,8548
STK36,2,219244993,219275683,+,30691
TTLL4,2,219283812,219328383,+,44572
CYP27A1,2,219354716,219388260,+,33545
PRKAG3,2,219395350,219405053,-,9704
AC009974.11,2,219414566,219415032,+,467
WNT6,2,219432788,219447199,+,14412
WNT10A,2,219453329,219472547,+,19219
AC073128.10,2,219473777,219503602,-,29826
U6,2,219489150,219489253,-,104
AC097468.7,2,219517595,219534869,-,17275
KRT8P30,2,219526367,219527016,-,650
CDK5R2,2,219532621,219535120,+,2500
LINC00608,2,219548565,219552626,+,4062
FEV,2,219554053,219558623,-,4571
CRYBA2,2,219563155,219566387,-,3233
MIR375,2,219574606,219574675,-,70
AC097468.4,2,219575181,219588687,+,13507
CCDC108,2,219575812,219614493,-,38682
IHH,2,219627390,219633433,-,6044
MIR3131,2,219631654,219631716,-,63
NHEJ1,2,219648283,219733831,-,85549
SLC23A3,2,219648295,219743793,-,95499
Metazoa_SRP,2,219675400,219675681,+,282
CNPPD1,2,219744863,219751072,-,6210
FAM134A,2,219749191,219758445,+,9255
ZFAND2B,2,219768203,219782617,+,14415
ABCB6,2,219782734,219791956,-,9223
ATG9A,2,219782738,219802683,-,19946
AC068946.1,2,219796989,219797071,-,83
ANKZF1,2,219802723,219809635,+,6913
GLB1L,2,219809572,219818444,-,8873
STK16,2,219818421,219823303,+,4883
TUBA4A,2,219822677,219851136,-,28460
TUBA4B,2,219826209,219845154,+,18946
DNAJB2,2,219852233,219859866,+,7634
PTPRN,2,219862589,219882614,-,20026
PTPRN,2,219863192,219880419,-,17228
MIR153-1,2,219867077,219867166,-,90
AC114803.3,2,219871968,219877096,+,5129
RESP18,2,219900375,219906143,-,5769
AC053503.2,2,219931836,219931949,-,114
DNPEP,2,219946512,219972988,-,26477
AC053503.4,2,219961462,219976599,+,15138
DES,2,219991343,219999705,+,8363
AC053503.6,2,219998037,219999150,-,1114
SPEG,2,220007812,220071253,+,63442
AC053503.11,2,220055039,220089843,-,34805
RP11-316O14.1,2,220070577,220071212,-,636
GMPPA,2,220071833,220079954,+,8122
ASIC4,2,220087136,220111738,+,24603
CHPF,2,220111913,220116753,-,4841
TMEM198,2,220116629,220123561,+,6933
RP11-256I23.1,2,220120177,220120624,-,448
MIR3132,2,220122039,220122113,-,75
OBSL1,2,220123695,220144825,-,21131
RP11-256I23.2,2,220132049,220132592,+,544
INHA,2,220142128,220148679,+,6552
7SK,2,220163653,220163950,-,298
STK11IP,2,220170826,220189417,+,18592
AC009955.8,2,220198025,220199659,-,1635
SLC4A3,2,220200293,220214946,+,14654
RP11-256I23.3,2,220218056,220218597,+,542
AC009502.1,2,220256996,220257761,-,766
AC009502.4,2,220259953,220287652,+,27700
AC009502.2,2,220270765,220271180,+,416
AC009502.3,2,220303076,220310708,+,7633
AC008281.1,2,220477016,220477854,-,839
MIR4268,2,220479467,220479530,-,64
AC009310.1,2,220621787,220622237,-,451
AC114765.1,2,220678621,221023743,+,345123
AC114765.2,2,220700511,220785456,+,84946
AC114765.3,2,220764843,220764921,+,79
AC067956.1,2,221023644,221277530,+,253887
AC019051.1,2,221049948,221050057,-,110
AC093843.1,2,221364042,221370857,+,6816
AC011233.2,2,221735735,221736017,+,283
EPHA4,2,221990991,222147166,-,156176
AC079834.2,2,222092528,222092621,-,94
TMEM256P2,2,222105632,222105972,+,341
AC079834.1,2,222165405,222165825,+,421
AC068489.1,2,222210507,222214777,+,4271
AC009302.2,2,222517186,222517575,+,390
HSPA9P1,2,222534700,222536728,+,2029
AC009302.4,2,222617488,222617957,-,470
PAX3,2,222772851,222871959,-,99109
CCDC140,2,222871110,222878180,+,7071
RP11-384O8.1,2,222890205,222891616,-,1412
AC010980.2,2,222891238,222925952,+,34715
Y_RNA,2,222977948,222978058,+,111
SGPP2,2,222997480,223133911,+,136432
AC097461.2,2,223025369,223026099,-,731
U6,2,223071254,223071361,+,108
GAPDHP49,2,223076846,223077806,-,961
RP11-16P6.1,2,223139868,223142682,-,2815
FARSB,2,223143499,223229300,-,85802
MOGAT1,2,223244749,223282893,+,38145
AC104772.1,2,223250640,223251252,-,613
snoU13,2,223270859,223270963,-,105
AC016712.1,2,223271586,223272447,-,862
AC016712.2,2,223299420,223299797,+,378
ACSL3,2,223433896,223517601,+,83706
ATG12P2,2,223477602,223478017,-,416
AC097461.4,2,223490349,223492325,-,1977
AC013476.1,2,223505556,223505645,-,90
KCNE4,2,223624776,223771361,+,146586
Metazoa_SRP,2,223821463,223821756,-,294
HIGD1AP4,2,223971229,223971508,-,280
AC013448.1,2,224071735,224077573,+,5839
AC013448.2,2,224078438,224083895,+,5458
SCG2,2,224169902,224175465,-,5564
AC012512.1,2,224277582,224278299,+,718
AP1S3,2,224324647,224410988,-,86342
WDFY1,2,224428677,224518348,-,89672
MRPL44,2,224530365,224540675,+,10311
AC073641.2,2,224538662,224540667,-,2006
SERPINE2,2,224548073,224612280,-,64208
AC019109.1,2,224742625,224744498,+,1874
AC104802.1,2,224812423,224812517,-,95
AC008072.1,2,224867891,224868714,+,824
FAM124B,2,224951659,224975046,-,23388
CUL3,2,225043111,225158354,-,115244
AC073052.1,2,225072348,225073061,-,714
DOCK10,2,225338051,225615406,-,277356
MIR4439,2,225583422,225583501,-,80
AC067961.1,2,225972670,225973548,+,879
NYAP2,2,225973608,226226978,+,253371
AC016717.1,2,226271214,226271499,+,286
AC080002.1,2,226565941,226566157,-,217
AC068138.1,2,226753004,226758331,-,5328
MIR5702,2,227231670,227231753,-,84
IRS1,2,227308001,227372719,-,64719
RP11-395N3.1,2,227376996,227378021,+,1026
RHBDD1,2,227408541,227572175,+,163635
SNORA48,2,227541949,227542082,-,134
COL4A4,2,227575671,227737073,-,161403
AC079235.1,2,227697203,227697318,+,116
COL4A3,2,227737525,227887752,+,150228
AC097662.2,2,227794012,227898161,-,104150
MFF,2,227898111,227930794,+,32684
TM4SF20,2,227935116,227954955,-,19840
MIR5703,2,228045092,228045147,+,56
AGFG1,2,228045112,228129628,+,84517
C2orf83,2,228183050,228206280,-,23231
AC064853.2,2,228189958,228190750,-,793
AC064853.3,2,228205929,228221566,-,15638
SLC19A3,2,228258170,228290972,-,32803
AC064853.4,2,228258210,228259866,-,1657
RNA5SP121,2,228336012,228336112,-,101
SNRPGP8,2,228351470,228351695,-,226
AC073065.3,2,228374800,228377665,+,2866
CCL20,2,228386802,228390516,+,3715
TDGF1P2,2,228443043,228443604,-,562
WDR69,2,228444014,228497304,+,53291
SNORA25,2,228460591,228460704,+,114
SPHKAP,2,228552910,228754605,-,201696
U6,2,228742703,228742809,+,107
AC074019.2,2,228925080,228926175,-,1096
AC009410.1,2,229056221,229184355,-,128135
SNORD112,2,229160763,229160833,-,71
AC074019.1,2,229256497,229257540,-,1044
RPL7L1P10,2,229326284,229326746,+,463
PID1,2,229423486,229844245,-,420760
AC007677.2,2,229576846,229577360,+,515
7SK,2,229809300,229809569,-,270
DNER,2,229930589,230287518,-,356930
RNU7-9P,2,230179198,230179259,+,62
AC007559.1,2,230274754,230275108,+,355
TRIP12,2,230340174,230496199,-,156026
U6,2,230467306,230467413,+,108
FBXO36,2,230495262,230586069,+,90808
U6,2,230510774,230510842,-,69
FBXO36-IT1,2,230515688,230518097,+,2410
U6,2,230546275,230546381,+,107
SLC16A14,2,230607942,230641959,-,34018
RNY4P19,2,230631189,230631284,-,96
AC093171.1,2,230698270,230740454,+,42185
SP110,2,230740253,230798688,-,58436
AC009950.2,2,230745059,230747183,+,2125
AC009950.1,2,230776070,230807925,+,31856
SP140,2,230798689,230932006,+,133318
SP140L,2,230900143,230976691,+,76549
SP100,2,230988901,231117049,+,128149
Metazoa_SRP,2,231080060,231080343,+,284
HMGB1P3,2,231087982,231088597,+,616
AC010149.4,2,231093553,231152965,-,59413
TPM3P8,2,231146126,231146768,-,643
U6,2,231160080,231160186,+,107
AC098823.3,2,231263880,231273488,-,9609
CAB39,2,231285804,231394034,+,108231
BANF1P3,2,231298102,231298362,-,261
U6,2,231325100,231325206,+,107
ITM2C,2,231437598,231452207,+,14610
AC012507.3,2,231459459,231470050,+,10592
GPR55,2,231480277,231534025,-,53749
AC012507.4,2,231481811,231483061,+,1251
COX20P2,2,231530552,231530909,+,358
AC105344.2,2,231557327,231568991,-,11665
SPATA3,2,231569080,231598014,+,28935
C2orf72,2,231610449,231622678,+,12230
RP11-223I10.1,2,231624999,231625596,+,598
PSMD1,2,231629822,231745785,+,115964
HTR2B,2,231681188,231698076,-,16889
U1,2,231706420,231706588,+,169
ARMC9,2,231771504,231947792,+,176289
AC018738.2,2,231829054,231829263,+,210
MIR4777,2,231935663,231935748,+,86
AC017104.6,2,231961931,231967946,+,6016
B3GNT7,2,231968498,231974119,+,5622
ZBTB8OSP2,2,232006878,232007381,-,504
AC017104.4,2,232010056,232010376,-,321
AC017104.2,2,232025150,232026108,+,959
NCL,2,232026486,232056596,-,30111
SNORA75,2,232028755,232028891,-,137
SNORD20,2,232029399,232029478,-,80
SNORD82,2,232033326,232033395,-,70
AC017104.1,2,232063159,232063244,-,86
U2,2,232074945,232075156,-,212
LINC00471,2,232081381,232087294,-,5914
NMUR1,2,232096115,232103450,-,7336
AC104634.3,2,232132858,232133319,+,462
AC104634.2,2,232158819,232159282,+,464
C2orf57,2,232165819,232167238,+,1420
Metazoa_SRP,2,232218955,232219228,-,274
MGC4771,2,232279761,232279865,-,105
PTMA,2,232279849,232286495,+,6647
PDE6D,2,232305379,232359226,-,53848
COPS7B,2,232354625,232382207,+,27583
RP11-690I21.1,2,232362435,232362841,-,407
RP11-690I21.2,2,232382800,232385306,+,2507
RP11-690I21.3,2,232383302,232383798,-,497
MIR1471,2,232465196,232465252,-,57
NPPC,2,232494774,232499357,-,4584
DIS3L2,2,232534199,232917304,+,383106
AC105461.1,2,232551442,232588674,-,37233
MIR562,2,232745607,232745701,+,95
AC068134.10,2,232916070,232916857,+,788
ECEL1P3,2,232922708,232924263,-,1556
ALPP,2,232951488,232955843,+,4356
AC068134.8,2,232952589,232954628,-,2040
ECEL1P2,2,232958704,232960411,-,1708
ALPPL2,2,232979797,232983668,+,3872
AC068134.5,2,232988772,232992770,-,3999
AC068134.6,2,232993615,232994415,-,801
DIS3L2P1,2,233014988,233020372,+,5385
ALPI,2,233029077,233032986,+,3910
ECEL1,2,233052781,233060782,-,8002
PRSS56,2,233093417,233098666,+,5250
CHRND,2,233098947,233109621,+,10675
CHRNG,2,233112681,233119357,+,6677
TIGD1,2,233121023,233123470,-,2448
EIF4E2,2,233123006,233156598,+,33593
MIR5001,2,233123428,233123527,-,100
AC073254.1,2,233153902,233184925,-,31024
EFHD1,2,233179011,233255735,+,76725
Metazoa_SRP,2,233222803,233223089,+,287
snoU13,2,233251917,233252019,+,103
GIGYF2,2,233270253,233433529,+,163277
AC064852.5,2,233302477,233303152,-,676
AC064852.4,2,233333100,233340903,-,7804
KCNJ13,2,233339418,233349522,-,10105
U6,2,233355619,233355720,+,102
Y_RNA,2,233401607,233401705,+,99
C2orf82,2,233430224,233451662,+,21439
NGEF,2,233451640,233586226,-,134587
AC106876.2,2,233585568,233588839,+,3272
NEU2,2,233605626,233608011,+,2386
Metazoa_SRP,2,233778584,233778860,+,277
ATG16L1,2,233783436,233869059,+,85624
SCARNA5,2,233849112,233849387,+,276
SCARNA6,2,233862061,233862325,+,265
SAG,2,233881201,233920440,+,39240
RP11-400N9.1,2,233924517,233926801,-,2285
DGKD,2,233927892,234045489,+,117598
AC019221.4,2,233927959,233965784,+,37826
Y_RNA,2,233953228,233953340,-,113
USP40,2,234048905,234136066,-,87162
UGT1A12P,2,234158824,234159676,+,853
UGT1A11P,2,234176938,234177786,+,849
UGT1A8,2,234191030,234346695,+,155666
UGT1A10,2,234209839,234346690,+,136852
UGT1A13P,2,234221311,234222411,+,1101
UGT1A9,2,234245238,234346685,+,101448
UGT1A7,2,234255323,234346684,+,91362
UGT1A6,2,234264992,234346685,+,81694
AC114812.8,2,234266819,234282084,-,15266
UGT1A5,2,234286377,234346684,+,60308
UGT1A4,2,234292163,234346684,+,54522
RPL17P11,2,234294907,234295450,-,544
UGT1A3,2,234302493,234346684,+,44192
AC114812.9,2,234312337,234315342,+,3006
DNAJB3,2,234316135,234317400,-,1266
UGT1A2P,2,234320599,234321464,+,866
AC114812.10,2,234324002,234327041,+,3040
AC114812.5,2,234327690,234328730,-,1041
UGT1A1,2,234333633,234346684,+,13052
MROH2A,2,234349109,234406808,+,57700
HJURP,2,234406801,234427951,-,21151
MSL3P1,2,234438822,234441829,-,3008
TRPM8,2,234490782,234592905,+,102124
AC005538.5,2,234519529,234528818,-,9290
SPP2,2,234624062,234650517,+,26456
AC006037.2,2,234682464,234682864,+,401
RP11-309M7.1,2,234796221,234797897,+,1677
AC097713.5,2,234902866,234903221,+,356
AC097713.3,2,235011711,235035510,+,23800
AC097713.4,2,235017973,235027978,-,10006
AC097713.2,2,235028540,235029166,-,627
ARL4C,2,235066424,235070436,-,4013
AC010148.1,2,235407698,235486767,-,79070
SH3BP4,2,235525356,235629097,+,103742
AC114814.4,2,235658205,235661969,-,3765
AC114814.2,2,235720399,235720883,-,485
AC114814.3,2,235751279,235752288,+,1010
AC092576.1,2,235899741,235899834,+,94
AGAP1,2,236067472,236699937,+,632466
AGAP1-IT1,2,236079134,236080949,+,1816
AC012305.1,2,236145314,236145386,+,73
AC064874.1,2,236347238,236356770,-,9533
TMSB10P1,2,236455745,236455876,-,132
U7,2,236610633,236610694,+,62
Metazoa_SRP,2,236645678,236645935,+,258
Y_RNA,2,236726454,236726555,-,102
GBX2,2,236738618,236741751,-,3134
AC079135.1,2,236740829,236868309,+,127481
ASB18,2,236766834,236837791,-,70958
U1,2,236783755,236783930,-,176
IQCA1,2,236897533,237080924,-,183392
AC019068.2,2,236964456,236965770,+,1315
RPL3P5,2,236981228,236982459,-,1232
CXCR7,2,237141169,237155740,+,14572
AC011286.1,2,237306764,237327745,+,20982
U6,2,237588586,237588687,-,102
AC105760.3,2,237621981,237629549,-,7569
AC105760.2,2,237632816,237659199,-,26384
COPS8,2,237658694,237673848,+,15155
AC107079.1,2,237696292,237697479,-,1188
AC112715.2,2,237830473,237831058,+,586
COL6A3,2,237897385,237987757,-,90373
AC112721.1,2,237994802,237998658,-,3857
AC112721.2,2,238002302,238008204,-,5903
MLPH,2,238058810,238128700,+,69891
U6,2,238136547,238136652,+,106
PRLH,2,238139956,238140557,+,602
RAB17,2,238147704,238174996,-,27293
AC104667.3,2,238164402,238169363,+,4962
AC096574.5,2,238186359,238199907,+,13549
LRRFIP1,2,238200958,238387064,+,186107
RBM44,2,238371771,238416190,+,44420
RAMP1,2,238432275,238485495,+,53221
SNORD39,2,238443286,238443364,+,79
UBE2F,2,238540208,238615975,+,75768
UBE2F,2,238540395,238672792,+,132398
U6,2,238602351,238602443,-,93
SCLY,2,238634269,238672793,+,38525
ESPNL,2,238673537,238706667,+,33131
KLHL30,2,238712102,238726327,+,14226
FAM132B,2,238732362,238742280,+,9919
ILKAP,2,238743781,238777109,-,33329
AC016757.3,2,238797932,238805057,-,7126
AC096574.4,2,238805064,238829013,+,23950
HES6,2,238811647,238814042,-,2396
PER2,2,238817418,238863482,-,46065
AC012485.1,2,238857068,238857237,+,170
AC012485.2,2,238872090,238874000,-,1911
TRAF3IP1,2,238893821,238974280,+,80460
U6,2,238986022,238986125,+,104
ASB1,2,239000122,239025630,+,25509
AC016999.2,2,239000457,239001109,-,653
AC092619.1,2,239084070,239128434,-,44365
AC113618.1,2,239293704,239314160,+,20457
AC113618.2,2,239308643,239308927,-,285
AC144525.1,2,239362039,239363107,-,1069
AC114788.2,2,239505935,239512902,-,6968
AC114788.1,2,239559561,239559643,-,83
RP11-648F7.1,2,239593659,239596076,-,2418
HDAC4,2,239634801,239988285,-,353485
MIR4440,2,239655450,239655547,-,98
AC017028.6,2,239655552,239655645,-,94
AC017028.10,2,239655699,239655792,-,94
AC017028.2,2,239655797,239655890,-,94
